
:Author: crane
:Email: crane@crane-pc
:Date: 2017-10-18 19:18

:from http://vim-scripts.org/vim/scripts.html

Type	Name	Description
utility	OnSyntaxChange	Generate events when moving onto / off a syntax group.
utility	php-cs-fixer	Integrate php-cs-fixer created by fabpot.
utility	cscope.vim	create cscope database and connect to existing proper database automatically.
utility	EscapeBchars	Function to escape the characters used in comments.
utility	HgCi	Script to be used with autocmd bufwritepost when a commit is needed.
utility	sourcebeautify.vim	make your source code pretty in vim
utility	jshint.vim--Stelmach	JSHint Integration
utility	vmark.vim--Visual-Bookmarking	Toggle visual bookmarking and jump through bookmarks
utility	Xdebug	An awesome debugging client for Vim, Xdebug and PHP
utility	matchindent.vim	Match indentation style
utility	cmdpathup	Hotkey for going one level up when editing a path on command line
utility	license-loader	a vim script to load a license template
utility	_jsbeautify	Modified base on jsbeautify.vim (move comma to head of ojbect's attribute line)
utility	vtimer.vim	automatic timer to measure time spent with vim
utility	mathematic.vim	for inputting mathematic symbols.
utility	nosyntaxwords	find words that are not syntactically highlighted in current buffer
utility	DBGPavim	An improved PHP debugger
utility	jsoncodecs.vim	Dumps lines from vim to a valid JSON string
utility	TimeTap	TimeTap helps you track the time you spend coding on each project while in Vim.
utility	PHPUnit-QF	Run PHPUnit tests from within vim and put the errors into the quickfix list.
utility	Transpose	Swap lines with columns in matrices of text, delimited text, etc.
utility	maven-plugin	Help development in Maven
utility	jsruntime.vim	Run javascript in vim
utility	AmbiCompletion	Ambiguous completion
utility	RbREPL.vim	Run a Ruby REPL in VIM.
utility	neocomplcache-snippets_complete	neocomplcache complete snippets source
utility	Ideone.vim	vimscript for ideone
utility	VDBI.vim	Database client for Vim
utility	Fortune-vimtips	vimtips is a project to use fortune software to view vimtips.
utility	evervim	Edit evernote on vim.
utility	bestfriend.vim	How long did you spend your time with your friend?
utility	vim4rally	Rally ALM Integration for Vim
utility	muxmate	An easy way to send shell commands to tmux from vim.
utility	rstatusline	show buffer list on statusline with highlight
utility	vim-addon-ruby-debug-ide	ruby-debug-ide implementation
utility	Splice	Initial stable release.
utility	DBGp-X-client	a real remote debugger (tested only with XDebug/PHP)
utility	vim-addon-rdebug	minimal ruby rdebug implementation
utility	autolink	find and insert URLs for links in Markdown and ReST
utility	SpaceBetween	This plugin fix spaces between = { } in your *.rb file before save it automat
utility	restore_view.vim	A plugin for automatically restoring file's cursor position and folding
